NEW_PEYI_BWARI_L_G_A_FCT_ABUJA_LINE_4
5
1
29
1
0
322864.5  5  427.752  
322859.5  5  400.039  
322854.5  5  437.806  
322849.5  5  397.589  
322844.5  5  392.247  
322839.5  5  411.980  
322834.5  5  371.761  
322829.5  5  388.351  
322824.5  5  331.355  
322819.5  5  349.202  
322814.5  5  333.523  
322809.5  5  316.179  
322804.5  5  270.001  
322799.5  5  360.387  
322794.5  5  239.134  
322789.5  5  308.142  
322784.5  5  285.316  
322779.5  5  144.937  
322857   10  406.217 
322847   10  411.589  
322837   10  428.569  
322827   10  409.767  
322817   10  410.194  
322807   10  364.283 
322797   10  360.953  
322787   10  429.775  
322842   20  428.292  
322822   20  487.425  
322802   20  494.438  


