NEW_PEYI_BWARI_L_G_A_FCT_ABUJA_LINE_2
5
1
31
1
0
322477.5  5  147.416 
322482.5  5  218.344 
322487.5  5  269.408 
322492.5  5  302.562 
322497.5  5  257.707 
322502.5  5  211.400 
322507.5  5  150.649 
322512.5  5  166.802 
322517.5  5  158.479 
322522.5  5  210.014 
322527.5  5  196.378 
322532.5  5  303.922 
322537.5  5  229.551 
322542.5  5  242.182 
322547.5  5  264.261 
322552.5  5  218.149 
322557.5  5  282.654 
322562.5  5  247.684 
322485   10  259.422 
322495   10  266.039 
322505   10  244.334 
322515   10  277.822 
322525   10  303.373 
322535   10  368.645 
322545   10  385.486 
322555   10  345.997 
322492.5 15  367.530 
322507.5 15  306.995 
322522.5 15  364.108 
322537.5 15  477.486 
322552.5 15  411.435 

