?
Gem Systems GSM-19 BL 18 VI 2019 Canada

/Gem Systems GSM-19 0018465 v9.0 20 XII 2019 M e2@v9 
/ID 1 file 01survey.b   27 IX 22
/datum  33000.00
/no AC filter
/12.2V
/tune initialize Y auto-tune N 033.9uT
/115200bps
/time nT sq 
095404.0  33724.73 99 
095408.0  33724.64 99 
095412.0  33724.45 99 
095416.0  33724.42 99 
095420.0  33724.29 99 
095424.0  33724.13 99 
095428.0  33724.24 99 
095432.0  33724.28 99 
095436.0  33724.17 99 
095440.0  33724.12 99 
095444.0  33724.12 99 
095448.0  33724.02 99 
095452.0  33724.12 99 
095456.0  33724.05 99 
095500.0  33724.06 99 
095504.0  33724.05 99 
095508.0  33723.98 99 
095512.0  33724.00 99 
095516.0  33724.11 99 
095520.0  33724.18 99 
095524.0  33724.36 99 
095528.0  33724.51 99 
095532.0  33724.60 99 
095536.0  33724.82 99 
095540.0  33724.98 99 
095544.0  33725.10 99 
095548.0  33725.41 99 
095552.0  33725.68 99 
095556.0  33725.66 99 
095600.0  33725.93 99 
095604.0  33726.08 99 
095608.0  33726.32 99 
095612.0  33726.51 99 
095616.0  33726.69 99 
095620.0  33726.84 99 
095624.0  33727.02 99 
095628.0  33727.12 99 
095632.0  33727.32 99 
095636.0  33727.57 99 
095640.0  33727.78 99 
095644.0  33728.02 99 
095648.0  33728.19 99 
095652.0  33728.29 99 
095656.0  33728.38 99 
095700.0  33728.58 99 
095704.0  33728.92 99 
095708.0  33729.12 99 
095712.0  33729.36 99 
095716.0  33729.38 99 
095720.0  33729.58 99 
095724.0  33729.85 99 
095728.0  33729.82 99 
095732.0  33729.91 99 
095736.0  33729.90 99 
095740.0  33729.92 99 
095744.0  33729.89 99 
095748.0  33729.95 99 
095752.0  33729.78 99 
095756.0  33729.74 99 
095800.0  33729.77 99 
095804.0  33729.58 99 
095808.0  33729.65 99 
095812.0  33729.67 99 
095816.0  33729.58 99 
095820.0  33729.72 99 
095824.0  33729.61 99 
095828.0  33729.65 99 
095832.0  33729.61 99 
095836.0  33729.45 99 
095840.0  33729.38 99 
095844.0  33729.31 99 
095848.0  33729.07 99 
095852.0  33728.90 99 
095856.0  33728.87 99 
095900.0  33728.70 99 
095904.0  33728.60 99 
095908.0  33728.60 99 
095912.0  33728.37 99 
095916.0  33728.39 99 
095920.0  33728.35 99 
095924.0  33728.30 99 
095928.0  33728.37 99 
095932.0  33728.38 99 
095936.0  33728.43 99 
095940.0  33728.43 99 
095944.0  33728.31 99 
095948.0  33728.30 99 
095952.0  33728.53 99 
095956.0  33728.63 99 
100000.0  33728.68 99 
100004.0  33728.65 99 
100008.0  33728.67 99 
100012.0  33728.61 99 
100016.0  33728.58 99 
100020.0  33728.59 99 
100024.0  33728.55 99 
100028.0  33728.46 99 
100032.0  33728.40 99 
100036.0  33728.49 99 
100040.0  33728.41 99 
100044.0  33728.41 99 
100048.0  33728.46 99 
100052.0  33728.41 99 
100056.0  33728.53 99 
100100.0  33728.49 99 
100104.0  33728.51 99 
100108.0  33728.71 99 
100112.0  33728.62 99 
100116.0  33728.62 99 
100120.0  33728.75 99 
100124.0  33728.59 99 
100128.0  33728.61 99 
100132.0  33728.63 99 
100136.0  33728.54 99 
100140.0  33728.66 99 
100144.0  33728.64 99 
100148.0  33728.58 99 
100152.0  33728.64 99 
100156.0  33728.64 99 
100200.0  33728.72 99 
100204.0  33728.82 99 
100208.0  33728.66 99 
100212.0  33728.71 99 
100216.0  33728.70 99 
100220.0  33728.74 99 
100224.0  33728.79 99 
100228.0  33728.83 99 
100232.0  33728.71 99 
100236.0  33728.70 99 
100240.0  33728.85 99 
100244.0  33728.71 99 
100248.0  33728.72 99 
100252.0  33728.64 99 
100256.0  33728.62 99 
100300.0  33728.65 99 
100304.0  33728.53 99 
100308.0  33728.56 99 
100312.0  33728.52 99 
100316.0  33728.46 99 
100320.0  33728.43 99 
100324.0  33728.57 99 
100328.0  33728.42 99 
100332.0  33728.40 99 
100336.0  33728.40 99 
100340.0  33728.27 99 
100344.0  33728.34 99 
100348.0  33728.22 99 
100352.0  33728.23 99 
100356.0  33728.26 99 
100400.0  33728.21 99 
100404.0  33728.30 99 
100408.0  33728.27 99 
100412.0  33728.23 99 
100416.0  33728.22 99 
100420.0  33728.33 99 
100424.0  33728.22 99 
100428.0  33728.30 99 
100432.0  33728.17 99 
100436.0  33728.16 99 
100440.0  33728.19 99 
100444.0  33728.04 99 
100448.0  33727.99 99 
100452.0  33727.96 99 
100456.0  33727.89 99 
100500.0  33727.96 99 
100504.0  33727.98 99 
