NEW_PEYI_BWARI_L_G_A_FCT_ABUJA_LINE_2
5
3
31
1
1
chargeability
msec.
0.1,1.0
322477.5  5 1 147.416 3.63
322482.5  5 1 218.344 2.74
322487.5  5 1 269.408 2.33
322492.5  5 1 302.562 1.92
322497.5  5 1 257.707 1.97
322502.5  5 1 211.400 1.89
322507.5  5 1 150.649 2.95
322512.5  5 1 166.802 3.71
322517.5  5 1 158.479 3.36
322522.5  5 1 210.014 3.59
322527.5  5 1 196.378 1.61
322532.5  5 1 303.922 2.03
322537.5  5 1 229.551 2.28
322542.5  5 1 242.182 3.14
322547.5  5 1 264.261 2.61
322552.5  5 1 218.149 2.26
322557.5  5 1 282.654 2.85
322562.5  5 1 247.684 3.51
322485   10 2 259.422 2.70
322495   10 2 266.039 2.77
322505   10 2 244.334 2.68
322515   10 2 277.822 4.80
322525   10 2 303.373 2.08
322535   10 2 368.645 0.62
322545   10 2 385.486 0.93
322555   10 2 345.997 2.26
322492.5 15 3 367.530 2.73 
322507.5 15 3 306.995 3.54
322522.5 15 3 364.108 3.45
322537.5 15 3 477.486 2.18
322552.5 15 3 411.435 0.99

