NEW_PEYI_BWARI_L_G_A_FCT_ABUJA_LINE_3
5
1
29
1
0
322730.5  5  497.441  
322725.5  5  518.964  
322720.5  5  507.339  
322715.5  5  388.257  
322710.5  5  337.074  
322705.5  5  286.343  
322700.5  5  328.528  
322695.5  5  366.483  
322690.5  5  402.679  
322685.5  5  596.320  
322680.5  5  702.991  
322675.5  5  846.078  
322670.5  5  964.940  
322665.5  5  893.459  
322660.5  5  759.107  
322655.5  5  615.643 
322650.5  5  775.131  
322645.5  5  737.019  
322723   10  751.692  
322713   10  573.214  
322703   10  567.037  
322693   10  615.367  
322683   10  944.988  
322673   10  893.459  
322663   10  1012.855 
322653   10  877.435  
322708   20  869.944  
322688   20  1304.433 
322668   20  1131.283 


