NEW_PEYI_BWARI_L_G_A_FCT_ABUJA_LINE_1
5
3
31
1
1
chargeability
msec.
0.1,1.0
322476.5  5 1 299.458 2.07
322481.5  5 1 201.540 2.16
322486.5  5 1 188.507 2.97
322491.5  5 1 177.608 2.80
322496.5  5 1 158.539 2.44
322501.5  5 1 191.898 2.42
322506.5  5 1 238.996 2.47
322511.5  5 1 269.310 2.69
322516.5  5 1 247.131 2.84
322521.5  5 1 279.330 3.40
322526.5  5 1 383.575 3.53
322531.5  5 1 368.431 3.54
322536.5  5 1 409.497 2.84
322541.5  5 1 314.420 2.72
322546.5  5 1 293.438 2.47
322551.5  5 1 269.571 3.19
322556.5  5 1 327.711 3.15
322561.5  5 1 324.412 3.09
322484   10 2 330.450 2.38
322494   10 2 280.116 3.33
322504   10 2 401.315 2.73
322514   10 2 416.309 3.65
322524   10 2 452.542 4.65
322534   10 2 528.861 3.60
322544   10 2 351.175 2.28
322554   10 2 469.082 2.82
322491.5 15 3 456.558 2.69 
322506.5 15 3 600.398 3.68
322521.5 15 3 541.147 3.56
322536.5 15 3 650.620 3.53
322551.5 15 3 489.577 2.69

