LONG,LAT,Cor_nT
322838.69,1019717.75,32971.9398
322837.49,1019717.49,32971.3794
322836.27,1019718.08,32971.3383
322835.43,1019718.79,32971.145
322834.48,1019719.02,32969.7884
322833.37,1019719.32,32968.0529
322832.17,1019719.68,32965.9873
322831.37,1019720.13,32964.086
322830.58,1019720.28,32962.6098
322829.75,1019720.68,32961.0848
322828.73,1019720.46,32959.5802
322827.76,1019720.04,32958.6062
322827.32,1019720.35,32958.8314
322826.33,1019720.62,32957.748
322825.47,1019720.72,32957.1805
322824.39,1019720.83,32956.1285
322823.26,1019720.34,32953.7158
322822.2,1019719.78,32949.4274
322821.17,1019719.61,32945.4013
322820.51,1019719.5,32940.9873
322820.22,1019719.87,32939.5141
322819.48,1019719.93,32941.3247
322818.73,1019720.32,32957.6945
322817.86,1019720.31,32988.8429
322817.17,1019720.43,33011.5025
322816.56,1019720.05,33009.1067
322815.76,1019719.55,33029.6307
322815.02,1019719.62,33103.73
322814.45,1019719.35,33170.2541
322814.7,1019719.04,33163.6219
322814.36,1019718.66,26825.9941
322813.82,1019718.33,31733.3417
322813.27,1019717.72,33110.5432
322812.15,1019718.32,33117.263
322811.1,1019718.7,33096.553
322810.48,1019719.68,33041.1605
322809.89,1019720.45,32984.2881
322808.77,1019721.14,32954.6546
322807.95,1019721.87,32952.1648
322806.8,1019722.44,32949.7263
322805.69,1019722.65,32947.5416
322804.47,1019722.64,32944.4293
322803.25,1019723.16,32939.5449
322802.41,1019723.62,32937.2048
322801.19,1019724.03,32935.1533
322799.91,1019724.14,32935.0655
322798.73,1019724.29,32934.5093
322797.6,1019724.92,32936.3249
322796.42,1019725.18,32930.6869
322795.1,1019725.49,32911.3123
322794.05,1019725.83,32909.7214
322792.94,1019725.75,32934.3832
322791.73,1019725.32,32975.6661
322790.7,1019724.71,33055.0289
322789.88,1019723.7,33193.5
322789.18,1019723.09,33291.4814
322788.24,1019722.16,33173.1699
322787.44,1019721.33,33012.867
322786.45,1019720.24,32966.7408
322785.31,1019719.32,32974.2149
322784.3,1019718.6,32974.5364
322783.09,1019718.03,32964.7368
322781.84,1019717.41,32971.7716
322780.51,1019716.98,32984.6489
322779.36,1019716.88,32991.3701
322778.2,1019716.6,32992.0481
322777.03,1019716.01,32984.8801
322775.94,1019715.47,32970.9981
322775.07,1019714.97,32962.8554
322774.26,1019714.78,32957.4576
322773.21,1019714,32948.5765
322772.14,1019713.01,32938.4791
322771.1,1019712.15,32927.3234
322769.92,1019711.46,32913.3945
322768.98,1019710.69,32901.2456
322767.95,1019709.82,32888.0021
322766.85,1019708.91,32882.2741
322765.75,1019708.04,32879.7901
322764.58,1019707.26,32880.3728
322763.31,1019706.52,32886.6105
322762.03,1019705.75,32897.6496
322760.74,1019705.19,32911.5945
322759.32,1019704.79,32925.9924
322757.92,1019704.59,32936.4896
322756.62,1019704.66,32940.3368
322755.34,1019705.13,32938.8204
322754.03,1019705.81,32937.513
322752.89,1019706.46,32939.9875
322751.71,1019707.04,32944.2638
322750.27,1019707.26,32950.3482
322749.14,1019706.93,32955.8181
